"@lat"	"@lon"	"name"	"type"
"45.8742029"	"5.7500890"	"Champ du Raz"	"viewpoint"
"46.0610502"	"6.9577844"	"Musée CFF (Usine de Barberine)"	"museum"
"43.8179118"	"5.3798599"	"Fort de Buoux"	"castle"
"43.8179118"	"5.3798599"	"Fort de Buoux"	"attraction"
"43.9009268"	"5.2960041"	"Sentier des Ocres"	"attraction"
"48.4359380"	"-4.7227251"	"Lavoir de Kerven"	"attraction"
"48.4568527"	"-4.7088257"	"Fontaine Saint-Éloi"	"attraction"
"48.4064005"	"-4.7790862"	"Fort de Porsmoguer"	"castle"
"48.4064005"	"-4.7790862"	"Fort de Porsmoguer"	"attraction"
"48.4189804"	"-4.7859561"	"Lavoir de Ruscumunoc"	"attraction"
"48.4217201"	"-4.7846224"	"Four à Goëmon"	"archaeological_site"
"48.4217201"	"-4.7846224"	"Four à Goëmon"	"attraction"
"48.4228597"	"-4.7881919"	"Mur antichar"	"battlefield"
"48.4228597"	"-4.7881919"	"Mur antichar"	"attraction"
"44.8756268"	"4.8443765"	"Ardéche Miniatures"	"museum"
"42.9721534"	"-0.0598554"	"Donjon des Aigles"	"attraction"
"47.5718955"	"-2.8986484"	"Tumulus-dolmen de l'île de Gavrinis"	"archaeological_site"
"47.5718955"	"-2.8986484"	"Tumulus-dolmen de l'île de Gavrinis"	"attraction"
"48.5715055"	"7.7342467"	"ragondins"	"attraction"
"48.4519619"	"-4.6835294"	"Calvaire de Keramaze"	"wayside_cross"
"48.4519619"	"-4.6835294"	"Calvaire de Keramaze"	"attraction"
"48.4514000"	"-4.6645406"	"Lit de Saint-Renan"	"wayside_cross"
"48.4514000"	"-4.6645406"	"Lit de Saint-Renan"	"attraction"
"48.4477852"	"-4.6707418"	"Croix de Kerezec"	"wayside_cross"
"48.4477852"	"-4.6707418"	"Croix de Kerezec"	"attraction"
"48.4331229"	"-4.6618173"	"Lavoir de Kerveatouz"	"attraction"
"48.4259461"	"-4.7682912"	"Le Vieux Lavoir"	"attraction"
"49.4887098"	"0.1134710"	"Salon des Navigateurs"	"museum"
"49.4877747"	"0.1090690"	"Muséum d'Histoire Naturelle"	"museum"
"45.3207561"	"3.6972875"	"Salle de l'Écho"	"attraction"
"44.6491636"	"6.6381104"	"Four à Poterie"	"attraction"
"48.6532190"	"-3.5467718"	"Chapel Melar"	"viewpoint"
"48.4574004"	"-4.7295186"	"Rouissoir de Lanhalla"	"archaeological_site"
"48.4574004"	"-4.7295186"	"Rouissoir de Lanhalla"	"attraction"
"47.8027541"	"-3.7223299"	"Pointe de Kerfany - Espace du souvenir."	"viewpoint"
"48.6216181"	"-3.5125802"	"Dolmen du Crec'h An Hu"	"archaeological_site"
"48.6216181"	"-3.5125802"	"Dolmen du Crec'h An Hu"	"attraction"
"48.9367698"	"-0.8384459"	"Halle"	"attraction"
